a_id,action
0,支付
1,为
2,有
3,提出
4,承担
5,是
6,提供
7,作出
8,提交
9,要求
10,进行
11,签订
12,认为
13,赔偿
14,符合
15,认定
16,无
17,发生
18,判决
19,计算
20,约定
21,证明
22,存在
23,履行
24,主张
25,驾驶
26,系
27,办理
28,交纳
29,解除
30,请求
31,申请
32,属于
33,确定
34,人民法院
35,使用
36,同意
37,出具
38,没有
39,构成
40,产生
41,称
42,予以
43,给
44,违反
45,提起
46,具有
47,驳回
48,取得
49,确认
50,计
51,解释
52,表示
53,偿还
54,作为
55,缺乏
56,执行
57,审理
58,不服
59,简称
60,规定
61,支持
62,考虑
63,交
64,认可
65,侵犯
66,发出
67,享有
68,收取
69,陈述
70,适用
71,管理
72,属
73,损害
74,委托
75,包括
76,作
77,如下
78,给付
79,起诉
80,处理
81,判处
82,达成
83,超过
84,返还
85,造成
86,止
87,辩称
88,指控
89,退还
90,行驶
91,证实
92,收到
93,成立
94,付
95,结合
96,持
97,交付
98,受到
99,缴纳
100,实施
101,负责
102,采取
103,变更
104,到
105,经营
106,登记
107,上诉
108,不予
109,影响
110,具备
111,拘留
112,购买
113,获得
114,给予
115,说
116,撤销
117,裁定
118,销售
119,借款
120,决定
121,强制
122,诉
123,送达
124,形成
125,破裂
126,负
127,犯
128,参加
129,转让
130,查明
131,发放
132,拖欠
133,涉及
134,通知
135,负担
136,低于
137,打
138,告知
139,完成
140,记载
141,欠
142,侵害
143,受
144,还
145,继续
146,相同
147,供述
148,清偿
149,送
150,投保
151,参照
152,发现
153,开始
154,羁押
155,显示
156,审
157,终止
158,建立
159,合法
160,采纳
161,归还
162,工作
163,出现
164,注册
165,拿
166,安排
167,受伤
168,予
169,做出
170,调整
171,逮捕
172,超出
173,征收
174,处
175,建设
176,在
177,行使
178,享受
179,负有
180,参与
181,视为
182,对
183,停止
184,位于
185,得到
186,责令
187,生效
188,取保
189,授权
190,清楚
191,并非
192,致
193,抓获
194,签署
195,实现
196,诉称
197,领取
198,设有
199,发
200,处罚
201,无关
202,不足
203,尽
204,施工
205,损坏
206,汇
207,受理
208,无效
209,制止
210,起
211,签名
212,生产
213,做
214,减去
215,处于
216,收回
217,届满
218,增加
219,入职
220,举证
221,批准
222,正确
223,放弃
224,明确
225,死亡
226,接收
227,分配
228,制作
229,签字
230,骨折
231,选择
232,相符
233,联系
234,违背
235,问
236,达到
237,开设
238,维持
239,分担
240,近似
241,承包
242,带
243,借
244,鉴定
245,合作
246,追究
247,整理
248,从事
249,协商
250,写
251,扣押
252,垫付
253,说明
254,诉请
255,转移
256,撤回
257,使
258,辨认
259,看
260,载
261,讨论
262,找
263,知道
264,诉讼
265,输送
266,判
267,找到
268,反映
269,来到
270,知晓
271,出示
272,合理
273,呈
274,服务
275,协助
276,告诉
277,终结
278,扣除
279,适应
280,管辖
281,涉
282,设立
283,维护
284,高
285,出生
286,转
287,人民政府
288,付清
289,包含
290,买卖
291,接受
292,还款
293,酌定
294,审查
295,记录
296,免除
297,代理
298,提
299,上浮
300,一致
301,让
302,支出
303,无视
304,建议
305,导致
306,签收
307,违法
308,保护
309,混淆
310,付款
311,补填
312,出售
313,赔付
314,贷款
315,租赁
316,遭受
317,加
318,否认
319,确
320,核定
321,中止
322,计收
323,过
324,组成
325,结算
326,补
327,需要
328,承诺
329,继承
330,代
331,扣
332,限于
333,碰撞
334,相撞
335,了解
336,办
337,处分
338,含
339,落入
340,成为
341,归
342,得知
343,申报
344,核发
345,住院
346,保证
347,违约
348,减少
349,剥夺
350,损伤
351,丧失
352,购进
353,存
354,指定
355,综合
356,检查
357,恢复
358,侵权
359,开具
360,没收
361,签
362,开发
363,发送
364,拟
365,前进
366,代表
367,采用
368,充分
369,开
370,供
371,接到
372,纳入
373,离婚
374,争议
375,打电话
376,不符
377,整顿
378,补偿
379,表明
380,居住
381,致使
382,补充
383,不同
384,去
385,存续
386,区分
387,拒绝
388,退出
389,投资
390,召开
391,大
392,利用
393,通过
394,查询
395,任
396,交给
397,达
398,结
399,发表
400,缴存
401,丢失
402,索赔
403,应付
404,救
405,占
406,非
407,述
408,拆除
409,移送
410,客观
411,抚养
412,回
413,拒
414,生活
415,发布
416,赋予
417,上
418,打伤
419,取消
420,理赔
421,答辩
422,为由
423,见
424,缴
425,损失
426,持有
427,解决
428,复制
429,判令
430,丢弃
431,标明
432,下达
433,划归
434,开展
435,来源于
436,分居
437,保障
438,拥有
439,组织
440,划分
441,限额
442,举报
443,载明
444,装修
445,派
446,砍
447,隐瞒
448,许可
449,盖章
450,核实
451,填写
452,约束
453,留
454,高于
455,出
456,立案
457,驶入
458,治疗
459,交易
460,冻结
461,分
462,患
463,进
464,理解
465,撞
466,诊断
467,举办
468,对照
469,令
470,到期
471,偿付
472,殴打
473,进入
474,满
475,需
476,查处
477,定
478,加强
479,应当
480,受损
481,属实
482,上班
483,移交
484,设置
485,相信
486,公布
487,收购
488,服
489,触犯
490,接管
491,拆迁
492,追加
493,租用
494,回复
495,卖
496,骗取
497,困难
498,阻止
499,获
500,用于
501,加收
502,挂靠
503,规划
504,搬
505,叫
506,离开
507,制造
508,用
509,更换
510,评估
511,附
512,控制
513,有效
514,承保
515,限制
516,指
517,拖延
518,休
519,咨询
520,否定
521,施行
522,改变
523,活动
524,评定
525,听取
526,竣工
527,认
528,续
529,追索
530,伪造
531,行
532,视
533,坐
534,投入
535,在于
536,清
537,识别
538,保存
539,担任
540,吊销
541,分割
542,坚持
543,认识
544,分摊
545,订立
546,交接
547,改
548,收缴
549,反驳
550,羁束
551,生育
552,提取
553,低
554,仲裁
555,立
556,排除
557,开庭
558,对齐
559,安装
560,采信
561,处置
562,作证
563,转入
564,保持
565,扣划
566,租
567,咬
568,明细
569,核准
570,注销
571,出租
572,调离
573,抢救
574,到达
575,入
576,验收
577,保留
578,好
579,印证
580,查封
581,退
582,强调
583,落实
584,刑满释放
585,公证
586,看到
587,设计
588,推翻
589,启用
590,抗辩
591,传播
592,变动
593,拨付
594,移
595,途经
596,诉求
597,伤害
598,砸
599,转包
600,失
601,佐证
602,供应
603,邮寄
604,催收
605,提请
606,打开
607,复审
608,施
609,延期
610,骑
611,变成
